age,monthly_income,account_balance,login_frequency,support_tickets,churn
65,100259.622,251626.94,10,5,1
69,183117.04200000002,138875.88,12,3,0
32,87361.362,83849.66,15,4,0
57,119710.152,143112.08,15,4,0
30,82448.658,149955.22,13,4,0
41,135679.51799999998,5000.0,8,3,0
49,84133.62000000001,57920.09,16,2,0
28,165854.718,103371.4,8,3,0
56,89019.39600000001,202591.49,9,4,0
70,105054.102,164029.61,14,4,0
70,106227.99,195765.29,15,4,1
57,120149.1,50101.44,13,5,1
47,86163.93,119996.02,8,3,1
67,44562.816,97427.12,15,5,1
70,41111.028,139244.97,5,4,0
70,99668.53800000002,218447.46,18,4,0
26,147621.18600000002,173241.33,10,5,0
61,147679.218,89593.7,10,6,0
63,125111.93400000001,146120.82,10,3,1
35,144438.102,204215.94,15,3,0
52,108551.682,170970.28,9,3,0
70,103801.68,117783.25,9,4,1
61,127744.74,188557.8,12,3,0
40,158550.534,69102.64,13,6,0
42,159943.32,81006.66,20,3,1
58,125124.66,168038.5,15,4,0
33,60821.729999999996,137821.67,8,2,1
56,87649.21800000001,61171.38,14,6,1
55,27000.0,126896.9,18,3,1
57,147054.294,136721.91,13,3,0
66,107236.152,5000.0,22,5,1
53,156990.798,163646.34,11,3,0
63,157432.572,79303.91,7,4,1
70,102945.258,5000.0,11,3,1
32,133108.578,83939.06,13,4,1
52,107495.388,113799.98,10,5,1
32,56391.462,186867.21,13,5,1
66,124936.398,50406.77,15,3,1
33,116205.102,46707.92,18,3,0
51,116759.7,140480.57,17,5,0
37,167896.18800000002,20025.9,7,4,1
70,75576.31199999999,250456.84,14,4,1
48,54075.312,83086.08,13,3,0
70,142696.674,156221.99,11,4,0
70,152625.618,108177.59,11,5,1
46,132033.636,164330.85,13,6,1
49,113395.32,102395.07,11,3,1
42,120047.058,90455.1,14,4,0
67,118371.78000000001,90760.69,13,6,1
70,114323.94,215282.77,12,5,0
51,99032.85,149903.26,9,6,1
67,153488.952,102726.52,9,3,1
70,90037.13399999999,122597.27,21,6,1
61,62526.204,182653.75,10,4,0
62,110240.802,184525.32,12,4,0
47,84071.448,84668.05,11,4,0
70,76755.708,42618.01,5,4,0
46,129773.51999999999,164745.17,21,2,0
59,67282.65000000001,159861.62,17,6,0
32,73905.372,157691.46,15,5,1
58,87046.56,200504.23,9,4,1
58,77055.246,70993.07,14,4,0
35,93457.69200000001,125412.72,9,4,0
30,96074.82,138079.13,14,3,0
69,63036.846000000005,128798.8,9,3,0
40,59719.896,61921.04,12,4,1
69,181978.776,191544.68,12,2,0
60,115495.92,180229.38,10,4,0
31,93867.372,150208.11,10,5,0
26,126852.642,146329.53,13,3,0
32,115669.962,125278.2,8,3,0
69,113106.33,32973.54,14,3,1
50,95094.36,92412.21,8,5,1
29,98702.45999999999,49434.57,17,2,0
37,92337.12000000001,172488.89,9,4,0
53,168069.52800000002,59516.75,13,3,0
68,97557.912,64641.12,16,3,1
54,124291.87199999999,197883.54,13,4,0
58,126645.768,84253.14,10,3,1
37,42498.954,177686.99,9,5,1
68,148344.966,62799.96,13,3,1
70,116563.78800000002,224589.49,10,4,0
47,44922.258,179809.63,10,4,1
43,160706.214,72131.27,8,3,0
70,142631.766,5000.0,13,3,1
52,118559.79000000001,183026.38,12,3,0
62,85154.004,130932.64,7,4,0
70,76101.3,42384.06,12,3,1
46,102421.98,216538.9,8,4,1
