age,monthly_income,account_balance,login_frequency,support_tickets,churn
22,52477.92,132666.64,8,5,1
58,50838.36,194845.58,13,2,1
52,75379.32,188016.14,10,3,0
40,76382.08,120464.3,7,0,0
40,49298.26,5000.0,15,1,0
62,51936.75,53653.66,10,5,1
22,70822.62,165800.05,11,0,0
54,43448.32,26984.91,13,2,0
28,51789.32,100398.44,14,1,1
22,61791.86,140308.84,7,3,0
45,79918.77,208174.24,10,0,0
68,47908.03,85498.82,7,1,1
56,23152.31,81390.74,9,0,1
57,21668.05,116853.25,15,1,1
55,34811.74,141054.78,15,0,0
58,33736.65,110745.19,12,3,0
44,56907.78,182956.1,10,3,0
24,36222.4,72051.37,9,2,1
61,45944.9,127209.66,8,0,1
41,44518.28,146712.76,13,2,1
44,51189.84,95986.03,14,1,0
37,86450.09,170382.6,8,1,0
27,73238.95,128937.51,10,3,1
66,60322.59,167330.74,14,3,1
58,50779.47,131646.25,9,0,1
51,51335.35,142584.27,11,3,1
38,66554.93,82056.49,16,4,1
60,71683.38,82153.7,12,2,0
46,41847.65,193463.79,9,1,0
41,60729.62,158130.63,13,0,1
41,19367.61,58622.09,8,6,1
29,64234.28,130851.81,7,2,0
22,75242.98,5000.0,12,4,1
46,54398.63,85563.59,8,4,1
64,96330.54,177661.66,10,0,1
21,42375.23,112491.26,11,1,0
62,64348.81,127074.76,9,1,0
61,59283.51,5000.0,12,2,1
32,57994.05,96464.78,15,2,1
50,57713.56,140296.33,13,2,1
26,62142.1,147917.39,23,5,1
57,76959.17,177741.34,13,2,0
54,87554.72,107384.53,13,1,1
36,59955.0,110060.65,17,1,0
21,76306.32,40072.95,8,0,0
68,45964.66,107728.71,17,1,1
41,75319.11,44305.5,14,2,0
64,44760.17,9127.79,7,1,1
53,81813.2,54889.24,15,2,1
58,104212.82,210521.09,11,2,0
57,57558.32,103766.33,8,1,1
28,16149.13,133192.64,10,2,0
36,49038.54,89190.22,14,3,1
42,84637.5,12566.94,16,1,0
43,71061.54,176166.79,11,3,1
20,64978.27,5000.0,16,2,0
46,80173.37,86712.44,7,1,1
26,69689.07,116723.11,13,3,0
56,84354.5,133829.38,13,2,1
53,78388.47,76411.82,10,1,0
65,90434.01,9722.31,14,1,0
56,67175.92,71934.4,20,4,1
37,78105.19,75074.52,14,0,1
68,53857.46,73614.39,10,3,0
39,47970.78,178203.52,18,2,0
34,94135.35,47183.83,19,2,1
65,64324.09,138058.76,16,2,0
37,76097.61,129497.82,13,0,1
21,62474.8,177627.3,18,1,0
42,48269.69,112012.09,7,1,0
59,60219.66,167467.86,5,4,1
27,88719.88,109666.79,13,3,0
42,71104.8,146063.55,13,0,0
24,25770.54,29823.53,9,2,0
53,55695.11,5000.0,10,2,1
42,95645.88,142652.81,10,1,1
35,55724.06,145870.99,11,1,1
29,23990.43,148530.14,16,3,1
47,97860.98,88504.05,12,2,0
52,73647.85,209383.34,12,3,0
66,58599.74,92407.33,16,3,1
40,52571.65,145252.74,7,2,1
26,81647.04,155678.17,12,1,0
61,49160.33,223124.41,10,4,1
50,82965.13,100978.22,16,1,1
54,70843.91,80808.43,13,2,1
23,64893.64,30111.28,15,0,1
34,62910.3,213142.02,14,0,0
57,56500.64,145284.65,8,1,1
61,80912.8,147183.67,11,1,1
40,42693.14,307002.25,11,0,0
59,27561.5,139502.68,16,3,0
61,72288.8,41860.72,6,2,1
38,72624.77,108245.79,12,3,0
64,69604.82,61513.06,15,1,0
32,68154.57,96247.9,6,1,1
30,53589.19,95844.62,13,7,1
53,75749.65,84778.54,9,4,1
51,59088.84,36403.05,11,4,0
25,50257.73,215550.1,11,1,0
61,53762.17,137930.88,10,1,1
28,100412.79,106471.68,12,0,0
59,25300.48,165458.27,14,1,0
18,69995.76,148264.04,12,3,1
59,26417.79,136541.44,13,1,0
58,57835.33,161099.88,11,3,1
58,51327.45,128036.08,11,3,1
52,18299.43,160213.29,9,1,0
